!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
	1250					北方毘沙門多聞寶藏天王神妙陀羅尼別行儀軌	唐 不空譯	1
						北[山/夆]教義	宋 宗印撰	1
						北[石*間]居簡禪師語錄	(參學) 大觀 編	1
	2113					北山錄	唐 神清撰．慧寶注	10
	0713	0273	(良)	0274	(良)	貝多樹下思惟十二因緣經	吳 支謙譯	1
						本門戒體鈔	日本 日蓮撰	1
	0159	0949	(興)	0950	(興)	大乘本生心地觀經	唐 般若譯	8
						大乘本生心地觀經淺註懸示	清 來舟述	1
	0765	0709	(孝)	0710	(孝)	本事經	唐 玄奘譯	7
	0036	0596	(善)	0597	(善)	本相猗致經	後漢 安世高譯	1
	0503	0720	(孝)	0721	(孝)	比丘避女惡名欲自殺經	西晉 法炬譯	1
						比丘尼羯磨經	劉宋 求那跋陀羅譯	1
	1427	1144	(隨)	1145	(隨)	摩訶僧祇比丘尼戒本	東晉 法顯共覺賢譯	1
						比丘尼受戒錄	清 弘贊述	1
	2063	1489	(微)	1467	(俠)	比丘尼傳	梁 寶唱撰	4
						比丘受戒錄	清 弘贊述	1
	0504	0731	(當)	0732	(當)	比丘聽施經	東晉 曇無蘭譯	1
	1480	0818	(則)	0819	(則)	佛說苾芻迦尸迦十法經	宋 法天譯	1
	1479	0817	(則)	0818	(則)	佛說苾芻五法經	宋 法天譯	1
	1406	0475	(行)	0476	(行)	佛說辟除賊害咒經	舊失譯人名今附東晉錄	1
	1407	0889	(臨)	0890	(臨)	佛說辟除諸惡陀羅尼經	宋 法賢譯	1
	0090	0576	(緣)	0577	(緣)	鞞摩肅經	劉宋 求那跋陀羅譯	1
	1547	1271	(肆筵)	1272	(肆筵)	鞞婆沙論	尸陀槃尼撰　符秦 僧伽跋澄譯	14
	0067	0569	(緣)	0570	(緣)	弊魔試目連經	吳 支謙譯	1
	2003			1596	(雁)	佛果圜悟禪師碧巖錄	宋 重顯頌古．克勤評唱	10
	0242	0856	(命)	0857	(命)	佛說遍照般若波羅蜜經	宋 施護譯	1
	0830	0218	(潔)	0219	(潔)	大乘遍照光明藏無字法門經	唐 地婆訶羅再譯	1
						辨非集	宋 善熹述	1
	2116	1599	(嶽)	1615	(於)	辯偽錄	元 祥邁撰	5
	0544	0763	(當)	0764	(當)	辯意長者子經	後魏 法場譯	1
	2110	1493	(旦)	1517	(奄)	辯正論	唐 法琳撰	8
	1600	1237	(靜)	1238	(靜)	辯中邊論	世親菩薩造　唐 玄奘譯	3
	1601	1238	(靜)	1239	(靜)	辯中邊論頌	彌勒菩薩說　唐 玄奘譯	1
	1835					辯中邊論述記	唐 窺基撰	3
						表無表章栖翫記	宋 守千述	1
	2120					代宗朝贈司空大辨正廣智三藏和上表制集	唐 圓照集	6
						別庵禪師語錄		
						別傳心法議	宋 戒珠撰	1
	0100	0541	(禍因)	0542	(禍因)	別譯雜阿含經	失譯	16
	1690	1339	(墳)	1340	(墳)	賓頭盧突羅闍為優陀延王說法經	劉宋 求那跋陀羅譯	1
						斌稚禪師語錄		
	1263					氷揭羅天童子經	唐 不空譯	1
	1384	0882	(臨)	0883	(臨)	佛說[金*本]蘭那賒[口*縛]哩大陀羅尼經	宋 法賢譯	1
	1232					播般曩結使波金剛念誦儀		1
	1426	1152	(外)	1153	(外)	摩訶僧祇律大比丘戒本	東晉 佛陀跋陀羅譯	1
	2141B					波斯教殘經		1
	0122	0609	(善)	0610	(善)	佛說波斯匿王太后崩塵土坌身經	西晉 法炬譯	1
						柏山楷禪師語錄		1
						伯亭大師傳記總帙		1
	0790	0374	(彼)	0375	(彼)	佛說孛經抄	吳 支謙譯	1
						孛長者事迹		1
						博山禪警語	明 元來說、成正集	2
