!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
興09	1253	0953	(興)	0954	(興)	大吉祥天女十二契一百八名無垢大乘經	唐 不空譯	1
深02	1381	0901	(深)	0902	(深)	佛說大吉祥陀羅尼經	宋 法賢譯	1
行02	1335	0468	(行)	0469	(行)	大吉義神咒經	元魏 曇曜譯	4
	0012	0932	(薄)	0933	(薄)	大集法門經	宋 施護譯	2
凊09	0424	0966	(清)	0967	(清)	大集會正法經	宋 施護譯	5
國10	0397	0057	(位-國)	0057	(位-國)	大方等大集經	北涼 曇無讖譯	60
	0416	0071	(罪)	0071	(罪)	大方等大集經賢護分	隋 闍那崛多譯	5
當06	0496	0739	(當)	0740	(當)	佛說大迦葉本經	西晉 竺法護譯	1
忠10	0352	0799	(忠)	0800	(忠)	佛說大迦葉問大寶積正法經	宋 施護譯	5
	0008	0987	(斯)	0988	(斯)	大堅固婆羅門緣起經	宋 施護等譯	2
	1415	0836	(盡)	0837	(盡)	大金剛妙高山樓閣陀羅尼	宋 施護譯	1
臨02	1401	0862	(臨)	0863	(臨)	佛說大金剛香陀羅尼經	宋 施護譯	1
過02	0988	0306	(過)	0307	(過)	孔雀王咒經	姚秦 鳩摩羅什譯	1
	0817	0179	(毀)	0180	(毀)	佛說大淨法門經	西晉 竺法護譯	1
杜08	0983A	1391	(杜)	1392	(杜)	佛說大孔雀明王畫像壇場儀軌	唐 不空譯	1
過04	0986	0304	(過)	0305	(過)	大金色孔雀王咒經	失譯	1
過04	0987	0305	(過)	0306	(過)	佛說大金色孔雀王咒經	失譯	1
知07	0985	0301	(知)	0302	(知)	佛說大孔雀咒王經	唐 義淨譯	3
	0243	1028	(澄)	1029	(澄)	大樂金剛不空真實三麼耶經	唐 不空譯	1
藁02	1003	1399	(槁)	1400	(槁)	大樂金剛不空真實三昧耶經般若波羅蜜多理趣釋	唐 不空譯	2
杜03	1119	1378	(杜)	1379	(杜)	大樂金剛薩埵修行成就儀軌	唐 不空譯	1
	0225	0008	(潛)	0008	(潛)	大明度經	吳 支謙譯	6
史10		1649	(史)	1620	(務)	大明仁孝皇后夢感佛說第一希有大功德經	明 徐皇后述	2
石10		1613	(昆-石)	1621	(茲-俶)	大明三藏法數	一如等集註	40
